Category Path,Count
Science,1194
Geography -> Science,568
Geography -> Countries -> Geography,402
Science -> Geography,371
Science -> Geography -> Science,364
Everyday life -> Science,332
Geography -> Countries,300
Geography,272
Science -> Geography -> Countries,267
Science -> Geography -> Countries -> History,260
Science -> Countries -> Geography,257
Science -> Geography -> Countries -> Geography,239
Science -> Everyday life,224
Countries -> Geography,203
Science -> IT -> Mathematics -> Citizenship -> Design and Technology,200
History -> Countries -> Geography,178
People -> Countries -> Geography,173
Language and literature -> Countries -> Science,172
Everyday life,154
Everyday life -> Countries -> Geography,153
