Category Path,Count
Science,2276
Geography,917
Everyday life,625
People,544
History,472
Countries,394
Language and literature,377
Design and Technology,346
Citizenship,253
Science -> Geography,223
Religion,215
Geography -> Countries,211
IT,207
Science -> Countries,160
Everyday life -> Science,140
Language and literature -> Countries,127
Geography -> Science,122
Science -> <,121
Design and Technology -> Countries,114
Everyday life -> Countries,110
Music,99
Everyday life -> Geography,97
Science -> Everyday life,97
Science -> Geography -> Countries,96
History -> Geography,93
People -> Geography,91
Science -> IT,90
History -> Countries,88
Science -> Geography -> Science,83
People -> Countries,81
Business Studies,76
Countries -> Geography,74
Science -> History,74
Geography -> Countries -> Geography,73
Design and Technology -> Science,67
Mathematics,65
Science -> Countries -> Geography,65
Science -> Religion,64
Design and Technology -> Geography,62
Design and Technology -> Countries -> Everyday life,61
Science -> People,60
Language and literature -> Countries -> Geography,59
Science -> < -> Science,54
Language and literature -> Countries -> Geography -> Science,49
Geography -> History,48
Design and Technology -> History,47
Art,46
Science -> Language and literature,45
Geography -> Citizenship,45
History -> Countries -> Geography,40
Countries -> History,39
Science -> Everyday life -> Science,39
Citizenship -> Countries,38
Countries -> Citizenship,38
Language and literature -> Geography,38
Everyday life -> Countries -> Geography,37
Science -> Citizenship,36
People -> History,36
People -> Science,36
People -> Countries -> Geography,35
Design and Technology -> Countries -> Geography,35
Everyday life -> History,33
Design and Technology -> Science -> Everyday life,33
Science -> Geography -> Countries -> Geography,32
Everyday life -> Language and literature,31
Geography -> Everyday life,31
Geography -> Countries -> History,29
Geography -> Countries -> Citizenship,28
Science -> History -> Countries,28
People -> Citizenship,28
Citizenship -> Countries -> Geography,27
Design and Technology -> History -> Everyday life,27
History -> Science,26
Music -> Countries,26
Citizenship -> Science,26
History -> Geography -> Countries,26
Science -> Countries -> History,26
Everyday life -> Geography -> Countries,26
Everyday life -> Citizenship,26
Design and Technology -> Countries -> Music,26
Science -> Design and Technology,25
Geography -> <,24
Business Studies -> Countries,24
Science -> IT -> Science,24
Countries -> Geography -> Countries,24
People -> Countries -> History,23
Geography -> Language and literature,23
Countries -> Science,23
Religion -> Countries,23
Science -> Geography -> History,23
Design and Technology -> Countries -> Everyday life -> Science,23
People -> Geography -> Countries,22
Language and literature -> Countries -> Geography -> Countries,22
Science -> Geography -> <,21
Geography -> Countries -> Everyday life,21
Geography -> Countries -> <,20
Religion -> History,20
Science -> Countries -> Citizenship,20
Religion -> Geography,20
Citizenship -> Geography,20
History -> People,20
History -> Countries -> History,20
Language and literature -> Religion,19
History -> Religion,18
Mathematics -> Science,18
Religion -> People,18
Geography -> Religion,18
Religion -> Language and literature,18
Science -> Language and literature -> Countries,18
Science -> Citizenship -> Countries,17
Language and literature -> History,17
Design and Technology -> Geography -> Countries,17
IT -> Countries,17
Science -> People -> Science,17
Countries -> Geography -> Science,17
Geography -> Design and Technology,17
Countries -> Everyday life,17
History -> Citizenship,17
Design and Technology -> History -> Citizenship,17
Everyday life -> Countries -> History,16
Science -> Everyday life -> Countries,16
Design and Technology -> Countries -> <,16
People -> Religion,16
Countries -> Geography -> <,16
Geography -> Countries -> Science,16
Science -> History -> Geography,16
Everyday life -> Countries -> <,16
Everyday life -> Science -> <,16
Geography -> Countries -> Geography -> Countries,15
History -> Language and literature,15
Business Studies -> Geography,15
Design and Technology -> History -> Everyday life -> Science,15
Citizenship -> History,15
Science -> Geography -> Citizenship,14
Music -> Geography,14
Countries -> Language and literature,14
Everyday life -> Geography -> Science,14
Language and literature -> <,14
Science -> Business Studies,14
Geography -> History -> Countries,14
Science -> Countries -> Geography -> Countries,14
Science -> People -> Countries,14
People -> Geography -> Science,14
Design and Technology -> Science -> Everyday life -> Science,14
People -> Everyday life,14
Language and literature -> Everyday life -> Science,14
IT -> People,13
Everyday life -> Science -> Everyday life,13
Language and literature -> People,13
Science -> History -> <,13
Everyday life -> Geography -> <,12
People -> Countries -> Geography -> Countries,12
People -> Language and literature,12
Science -> Design and Technology -> Science,12
Language and literature -> Science,12
Everyday life -> Countries -> Geography -> Countries,12
History -> Geography -> Science,12
Science -> Language and literature -> History,12
Geography -> Citizenship -> Geography,12
Language and literature -> Geography -> Countries,12
Language and literature -> Countries -> Science,12
Language and literature -> Countries -> History,12
Geography -> Science -> < -> Science,12
Design and Technology -> Science -> Geography,12
People -> Everyday life -> Science,11
Everyday life -> Countries -> Citizenship,11
Science -> Geography -> Countries -> History,11
Geography -> Science -> <,11
Geography -> Science -> Geography,11
Geography -> Countries -> Religion,11
History -> Countries -> Everyday life,11
Geography -> Everyday life -> Science,11
Everyday life -> Countries -> Everyday life,11
Science -> Countries -> <,11
Language and literature -> Citizenship,11
Geography -> People,11
People -> Countries -> Geography -> Science,11
Countries -> Religion,11
Science -> Religion -> History,11
Language and literature -> Everyday life,11
Everyday life -> Science -> Geography,11
Everyday life -> Geography -> History,11
Science -> People -> Geography,11
People -> Geography -> Countries -> Geography,10
People -> Geography -> History,10
Science -> < -> Science -> < -> Science,10
Countries -> Business Studies,10
Science -> Everyday life -> Geography,10
Geography -> < -> Geography,10
History -> Countries -> Geography -> Science,10
Religion -> Science,10
History -> Geography -> History,10
Science -> IT -> Mathematics,10
History -> Geography -> Countries -> Geography,10
People -> History -> Geography,10
Science -> Religion -> Language and literature -> Religion,10
Countries -> <,10
Geography -> History -> <,10
Everyday life -> IT,10
Science -> Countries -> Everyday life,10
People -> History -> Countries,10
History -> <,10
Science -> < -> Science -> <,10
Science -> Countries -> Science,10
People -> Geography -> <,10
Geography -> Countries -> Language and literature,9
People -> Music,9
Design and Technology -> Geography -> Countries -> Geography,9
Geography -> Business Studies,9
Religion -> Geography -> Countries,9
Design and Technology -> Countries -> History,9
Countries -> Citizenship -> Countries,9
Citizenship -> Geography -> Countries,9
Geography -> Countries -> Geography -> Science,9
Countries -> Geography -> Citizenship,9
Design and Technology -> Countries -> Geography -> Countries,9
People -> Countries -> Citizenship -> Countries,9
Design and Technology -> People,9
Everyday life -> Religion,9
Citizenship -> Business Studies,9
Science -> Geography -> Countries -> Citizenship,9
Design and Technology -> History -> Everyday life -> Science -> Everyday life,9
Geography -> Countries -> Geography -> <,9
History -> Countries -> <,9
Language and literature -> Music,9
Science -> Everyday life -> <,9
History -> Everyday life,8
People -> Language and literature -> Geography,8
Design and Technology -> Countries -> Geography -> Science,8
Science -> Countries -> People,8
Language and literature -> Countries -> Citizenship,8
IT -> Business Studies,8
Mathematics -> IT,8
History -> Countries -> People,8
Language and literature -> People -> Science,8
Science -> People -> Countries -> Geography,8
Citizenship -> Countries -> Geography -> Countries,8
Design and Technology -> Citizenship,8
Language and literature -> Countries -> <,8
Business Studies -> Citizenship,8
Design and Technology -> Science -> Everyday life -> <,8
IT -> Geography,8
IT -> <,8
Geography -> Language and literature -> Countries,8
People -> Countries -> Everyday life,8
Citizenship -> Religion,8
Countries -> Geography -> Countries -> Geography,8
History -> Countries -> Science,8
Science -> Countries -> Geography -> History,8
Science -> Music,7
Everyday life -> Countries -> Science,7
Design and Technology -> History -> Countries,7
Geography -> Countries -> Geography -> Citizenship,7
Geography -> Countries -> History -> Countries,7
Countries -> History -> Countries,7
Geography -> Citizenship -> Science,7
Geography -> History -> Geography,7
Everyday life -> Business Studies,7
Geography -> History -> Countries -> Citizenship,7
Geography -> Countries -> Geography -> Countries -> Geography,7
Science -> Citizenship -> Geography,7
Science -> History -> Citizenship,7
Citizenship -> Countries -> Citizenship,7
Everyday life -> <,7
Design and Technology -> Countries -> Music -> Countries,7
Science -> History -> Religion -> Language and literature -> Religion,7
Design and Technology -> Countries -> Science,7
Science -> History -> Religion,7
People -> Countries -> History -> Countries,7
Science -> Geography -> Countries -> People,7
Design and Technology -> Countries -> Music -> <,7
Science -> Countries -> Music,7
Language and literature -> Countries -> Everyday life,7
Science -> Everyday life -> Citizenship,7
Science -> Geography -> Science -> <,7
People -> Countries -> Citizenship,7
Science -> Mathematics,7
History -> People -> History,7
Science -> History -> Countries -> Geography,7
Countries -> Citizenship -> <,7
Business Studies -> Countries -> Geography,7
Geography -> Science -> Everyday life,7
People -> Countries -> Language and literature,7
Language and literature -> Countries -> Geography -> Science -> Geography,7
Science -> Citizenship -> Science,7
Countries -> Geography -> Countries -> <,7
Science -> Countries -> Business Studies,7
Design and Technology -> Countries -> Citizenship,7
Religion -> Countries -> Geography,7
Science -> Geography -> Design and Technology,7
Language and literature -> History -> Geography,7
Citizenship -> Countries -> Everyday life,7
Citizenship -> Everyday life,7
IT -> Everyday life,7
IT -> Citizenship -> Geography,7
History -> Citizenship -> People,6
People -> Geography -> Citizenship,6
Citizenship -> Geography -> <,6
Science -> Art,6
Music -> People,6
Everyday life -> Geography -> Everyday life,6
Geography -> Countries -> < -> Countries,6
Science -> Language and literature -> Geography,6
Countries -> People,6
Design and Technology -> Geography -> Science,6
Geography -> Countries -> History -> Geography,6
Art -> History,6
Art -> Science,6
Everyday life -> History -> Countries,6
Geography -> History -> People,6
Design and Technology -> Geography -> Countries -> Music,6
Design and Technology -> Countries -> Everyday life -> < -> Everyday life,6
Geography -> Citizenship -> <,6
Science -> IT -> <,6
Geography -> Countries -> History -> <,6
Science -> Language and literature -> IT,6
Language and literature -> Geography -> Countries -> Geography,6
Geography -> People -> Geography,6
Science -> Geography -> Science -> Geography,6
People -> History -> <,6
People -> Citizenship -> Countries,6
Mathematics -> History,6
Design and Technology -> Everyday life,6
Business Studies -> Science,6
Science -> Geography -> Countries -> <,6
Science -> Citizenship -> History,6
Everyday life -> Science -> < -> Science,6
People -> Countries -> Science,6
People -> Science -> Geography,6
People -> Geography -> Everyday life,6
People -> Countries -> Geography -> <,6
Art -> Countries,6
Music -> Countries -> History,6
Geography -> People -> Countries,6
Everyday life -> People,6
Countries -> Everyday life -> Science,6
Design and Technology -> Countries -> Everyday life -> Science -> Everyday life,6
IT -> Language and literature -> Countries,6
Everyday life -> Geography -> Countries -> Geography,6
Science -> Everyday life -> IT,6
Citizenship -> Language and literature,6
Science -> Language and literature -> Countries -> Geography,6
Religion -> Everyday life,6
History -> Geography -> <,6
Geography -> Countries -> Business Studies,6
Science -> Geography -> Countries -> Everyday life,6
IT -> Countries -> Geography,6
Everyday life -> Countries -> Geography -> <,6
Language and literature -> Geography -> History,6
Mathematics -> People -> Countries,5
History -> Countries -> Geography -> <,5
Business Studies -> History,5
Mathematics -> People,5
History -> Geography -> Language and literature,5
Science -> History -> People,5
Science -> Everyday life -> Religion,5
Design and Technology -> Geography -> People,5
Religion -> Citizenship,5
Everyday life -> Geography -> Citizenship,5
Design and Technology -> Business Studies,5
Geography -> Science -> Geography -> Countries -> Geography,5
Science -> Countries -> Geography -> < -> Geography,5
Science -> Countries -> History -> Countries,5
IT -> Mathematics,5
Everyday life -> Countries -> Business Studies,5
Design and Technology -> IT,5
Design and Technology -> Geography -> <,5
Science -> Geography -> Everyday life,5
Music -> Countries -> Geography,5
Language and literature -> History -> Countries,5
Everyday life -> Geography -> < -> Geography,5
Design and Technology -> History -> Geography,5
Science -> Language and literature -> History -> People,5
Design and Technology -> History -> Citizenship -> Geography,5
Geography -> Everyday life -> <,5
Design and Technology -> Countries -> Music -> < -> Geography,5
Science -> Countries -> History -> <,5
People -> Geography -> < -> Geography,5
Language and literature -> Countries -> Geography -> Countries -> Science,5
People -> Religion -> People,5
Science -> Design and Technology -> Countries,5
Science -> IT -> Music -> Science,5
Science -> IT -> People,5
Language and literature -> Geography -> Science,5
Science -> Countries -> Language and literature,5
Design and Technology -> Science -> People,5
People -> Language and literature -> Countries,5
Science -> Religion -> Science,5
Geography -> Everyday life -> Countries,5
Science -> Geography -> < -> Geography,5
Design and Technology -> Countries -> Language and literature,5
Language and literature -> Countries -> Geography -> Countries -> Geography,5
Science -> People -> History,5
Everyday life -> Science -> < -> Science -> <,5
History -> Citizenship -> Geography,5
Everyday life -> Language and literature -> Countries,5
Design and Technology -> Geography -> Countries -> Everyday life,5
Science -> Music -> Science,5
Design and Technology -> Science -> Everyday life -> < -> Everyday life,5
Science -> Countries -> Citizenship -> Countries,5
Everyday life -> Countries -> Geography -> Science,5
Religion -> Geography -> Science,5
Design and Technology -> Science -> <,5
Science -> Countries -> Geography -> <,5
Science -> Geography -> Countries -> Geography -> Countries,5
Science -> Geography -> < -> Science,5
Religion -> Countries -> Citizenship,5
Music -> Geography -> Countries,5
Language and literature -> Religion -> People,5
Countries -> Language and literature -> Countries,5
Everyday life -> History -> Geography,5
Design and Technology -> Countries -> Geography -> <,5
Design and Technology -> Countries -> Religion,5
Countries -> Citizenship -> Science,5
Everyday life -> Science -> Everyday life -> Science,5
Countries -> Everyday life -> Geography,5
Science -> Geography -> Science -> Geography -> Science,5
Science -> Geography -> Citizenship -> Geography,5
Language and literature -> Countries -> Geography -> Science -> Countries,5
Religion -> Language and literature -> Countries -> Geography,5
People -> Countries -> <,5
Science -> Countries -> IT,5
Science -> Countries -> Citizenship -> Geography,5
Geography -> Design and Technology -> Science,5
Science -> Everyday life -> People,5
Design and Technology -> History -> <,5
Geography -> Countries -> Geography -> < -> Geography,5
History -> Geography -> Design and Technology,5
History -> Countries -> Citizenship,5
Science -> IT -> Business Studies,5
Science -> Everyday life -> Language and literature,5
Science -> Citizenship -> <,5
Language and literature -> Geography -> Citizenship,4
Everyday life -> Geography -> Countries -> <,4
Science -> Everyday life -> Science -> Geography,4
Citizenship -> Countries -> Citizenship -> Countries,4
Countries -> Geography -> History,4
History -> Everyday life -> Science,4
Countries -> Music,4
Science -> Geography -> Citizenship -> Science,4
Countries -> Citizenship -> Business Studies,4
Science -> < -> Science -> < -> Science -> < -> Science,4
Countries -> History -> <,4
Science -> < -> Geography,4
People -> Citizenship -> People,4
Geography -> Science -> Everyday life -> Science,4
Design and Technology -> Countries -> Geography -> Countries -> Geography,4
People -> Countries -> Business Studies,4
People -> Countries -> Geography -> < -> Geography,4
Design and Technology -> Countries -> Geography -> < -> Geography,4
Countries -> History -> Citizenship,4
Everyday life -> Countries -> People,4
